City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Beringovskiy,RU,2022-05-07 20:24:47,63.05,179.3167,32.67,86,99,7.36
68,Margate,GB,2022-05-07 20:25:23,51.3813,1.3862,52.11,91,5,5.01
69,Sistranda,NO,2022-05-07 20:25:31,63.7256,8.834,37.36,92,100,26.24
70,Kutum,SD,2022-05-07 20:25:32,14.2,24.6667,81.05,8,21,11.27
71,Narsaq,GL,2022-05-07 20:25:08,60.9167,-46.05,52.02,70,100,5.44
72,Mayo,US,2022-05-07 20:25:32,38.8876,-76.5119,52.21,93,100,11.5
73,Talnakh,RU,2022-05-07 20:25:33,69.4865,88.3972,7.5,81,4,13.53
74,Sibi,PK,2022-05-07 20:25:33,29.5448,67.8764,92.86,10,0,3.71
75,Carauari,BR,2022-05-07 20:25:34,-4.8828,-66.8958,78.69,84,84,3.56
76,Qaanaaq,GL,2022-05-07 20:25:34,77.484,-69.3632,19.76,79,100,1.05
77,Dera Ismail Khan,PK,2022-05-07 20:25:35,31.8327,70.9024,92.23,18,0,2.89
78,Ilulissat,GL,2022-05-07 20:25:35,69.2167,-51.1,28.42,54,0,5.75
79,Severo-Kurilsk,RU,2022-05-07 20:23:58,50.6789,156.125,39.85,91,100,4.21
80,Saysain,PH,2022-05-07 20:25:36,14.5611,120.3925,80.69,79,100,9.35
81,Broken Hill,AU,2022-05-07 20:24:24,-31.95,141.4333,48.51,78,0,7.11
82,Manzanillo,CU,2022-05-07 20:22:36,20.3433,-77.1167,89.74,48,10,9.33
83,Kedougou,SN,2022-05-07 20:25:37,12.5579,-12.1743,99.99,18,77,3.09
84,Yambio,SS,2022-05-07 20:25:37,4.5721,28.3955,71.2,89,63,1.3
85,Hobart,AU,2022-05-07 20:23:54,-42.8794,147.3294,51.66,81,75,12.66
86,Tuatapere,NZ,2022-05-07 20:25:38,-46.1333,167.6833,55.09,97,100,1.57
87,Leningradskiy,RU,2022-05-07 20:22:59,69.3833,178.4167,23.67,90,86,2.28
88,Ghanzi,BW,2022-05-07 20:25:39,-21.5667,21.7833,66.72,27,21,8.25
89,Kruisfontein,ZA,2022-05-07 20:25:39,-34.0033,24.7314,55.89,81,100,6.26
90,Hithadhoo,MV,2022-05-07 20:23:57,-0.6,73.0833,83.89,77,12,15.37
91,Port Elizabeth,ZA,2022-05-07 20:26:40,-33.918,25.5701,60.31,79,100,4.61
92,Tasiilaq,GL,2022-05-07 20:26:41,65.6145,-37.6368,32.16,70,97,5.95
93,Hasaki,JP,2022-05-07 20:26:41,35.7333,140.8333,61.2,90,44,14.09
94,Imeni Morozova,RU,2022-05-07 20:26:42,59.9757,31.0376,53.85,1,99,6.71
95,Kudahuvadhoo,MV,2022-05-07 20:26:42,2.6708,72.8944,83.89,78,100,12.97
96,Usinsk,RU,2022-05-07 20:26:43,65.9939,57.5281,35.69,100,100,12.19
97,Ancud,CL,2022-05-07 20:26:43,-41.8697,-73.8203,55.63,89,100,17.81
98,Ulagan,RU,2022-05-07 20:26:44,50.6321,87.9563,40.15,96,100,6.64
99,Gamba,GA,2022-05-07 20:26:44,-2.65,10.0,77.13,85,31,0.85
100,Vostok,RU,2022-05-07 20:26:45,46.4856,135.8833,31.32,97,100,3.24
