City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ben Tre,VN,10.2333,106.3833,75.94,95,100,2.93,overcast clouds
80,Thompson,CA,55.7435,-97.8558,51.96,32,40,5.75,scattered clouds
81,Jolalpan,MX,18.325,-98.8417,98.53,12,19,5.32,few clouds
82,Hilo,US,19.7297,-155.09,86.29,86,71,11.99,broken clouds
83,Bichena,ET,10.45,38.2,59.18,57,78,3.04,broken clouds
84,Bandarbeyla,SO,9.4942,50.8122,83.08,72,100,23.53,overcast clouds
85,Bucerias,MX,20.75,-105.3333,82.08,54,100,6.55,overcast clouds
86,Mount Isa,AU,-20.7333,139.5,65.97,52,0,10.36,clear sky
87,Mar Del Plata,AR,-38.0023,-57.5575,54.95,81,100,16.11,light intensity shower rain
88,Ouadda,CF,8.0777,22.4007,70.74,91,100,5.86,light rain
89,Pareora,NZ,-44.4871,171.2132,57.18,95,2,10.74,clear sky
90,Carnarvon,AU,-24.8667,113.6333,69.1,60,0,6.73,clear sky
91,Butaritari,KI,3.0707,172.7902,82.81,67,94,9.33,overcast clouds
92,Imbituba,BR,-28.24,-48.6703,54.09,89,0,8.16,clear sky
93,Cherskiy,RU,68.75,161.3,38.64,88,100,11.74,overcast clouds
94,Flinders,AU,-34.5833,150.8552,62.19,58,0,5.01,clear sky
95,Talnakh,RU,69.4865,88.3972,36.21,98,100,5.84,moderate rain
96,Shache,CN,38.4167,77.2406,69.71,35,28,5.53,scattered clouds
97,Gazojak,TM,41.1875,61.4036,77.38,16,25,6.93,scattered clouds
98,Bilma,NE,18.6853,12.9164,81.81,12,0,5.28,clear sky
99,Yulara,AU,-25.2406,130.9889,59.63,31,91,13.18,overcast clouds
100,Bone,DE,51.9669,12.1396,64.26,75,100,6.35,light rain
101,Veraval,IN,20.9,70.3667,83.23,67,21,14.41,few clouds
102,Mbandaka,CD,0.0487,18.2603,72.91,93,95,2.75,overcast clouds
103,Te Anau,NZ,-45.4167,167.7167,54.43,81,99,5.5,overcast clouds
104,Geraldton,AU,-28.7667,114.6,52.21,82,0,11.5,clear sky
105,Kayes,ML,14.0,-11.0,94.89,6,37,2.48,scattered clouds
106,Bara,NG,10.3744,10.7288,92.52,23,70,6.98,broken clouds
107,Basudebpur,IN,21.1353,86.7386,82.74,82,74,12.77,broken clouds
108,Chongwe,ZM,-15.3292,28.682,54.84,79,0,4.81,clear sky
109,Deputatskiy,RU,69.3,139.9,22.86,88,100,1.03,overcast clouds
110,Hermanus,ZA,-34.4187,19.2345,66.79,45,88,3.94,overcast clouds
111,Piacabucu,BR,-10.4056,-36.4344,77.94,86,83,7.49,broken clouds
112,Alofi,NU,-19.0595,-169.9187,78.69,69,75,17.27,light intensity shower rain
113,Roald,NO,62.5833,6.1333,45.91,75,0,20.71,clear sky
114,Bataipora,BR,-22.2953,-53.2711,54.95,82,18,6.38,few clouds
115,Broken Hill,AU,-31.95,141.4333,54.05,65,0,4.0,clear sky
116,Barrow,US,71.2906,-156.7887,19.04,82,17,11.77,few clouds
117,Biak,ID,-0.9131,122.8766,78.17,83,99,1.81,overcast clouds
118,Boksitogorsk,RU,59.474,33.8485,43.61,97,97,5.41,overcast clouds
119,Pisco,PE,-13.7,-76.2167,69.85,68,0,11.5,clear sky
120,Haines Junction,CA,60.7522,-137.5108,42.75,81,100,5.75,overcast clouds
121,Cockburn Town,TC,21.4612,-71.1419,79.36,86,98,22.01,overcast clouds
122,Port Blair,IN,11.6667,92.75,78.84,94,75,2.3,drizzle
123,Chara,RU,56.9064,118.2631,37.44,75,63,1.34,broken clouds
124,Dogondoutchi,NE,13.6393,4.0287,90.54,12,7,10.2,clear sky
125,Constitucion,CL,-35.3333,-72.4167,54.16,72,0,2.86,clear sky
126,Bagn,NO,60.8225,9.5521,45.09,56,1,2.57,clear sky
127,Khatanga,RU,71.9667,102.5,30.58,88,97,14.2,overcast clouds
128,Margate,GB,51.3813,1.3862,58.3,83,100,1.99,overcast clouds
129,Ranfurly,NZ,-45.1333,170.1,56.1,83,42,6.11,scattered clouds
130,Pevek,RU,69.7008,170.3133,33.57,90,100,5.5,overcast clouds
131,Kachiry,KZ,53.0675,76.1036,62.26,48,54,10.74,broken clouds
132,Plaridel,PH,14.8872,120.8572,80.11,83,100,1.86,overcast clouds
133,Beloha,MG,-25.1667,45.05,67.64,72,1,14.52,clear sky
